identifier,creator,title,date,downloads,venue
1999-06-28.paf.sbd.unknown.7677.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Club Front on 1999-06-28,1999-06-28T00:00:00Z,19777,Club Front
1999-07-02.paf.akg.granoff-stiefel.24485.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-07-02,1999-07-02T00:00:00Z,4421,Warfield Theater
1999-07-02.paf.sbd.mattman.18558.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-07-02,1999-07-02T00:00:00Z,14528,Warfield Theater
1999-07-02.paf.sbd.miler.29459.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-07-02,1999-07-02T00:00:00Z,11675,Warfield Theater
1999-07-02.paf.sbd.unknown.5267.sbefail.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-07-02,1999-07-02T00:00:00Z,3081,Warfield Theater
1999-07-03.paf.sbd.mattman.18900.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-07-03,1999-07-03T00:00:00Z,17204,Warfield Theater
1999-07-03.paf.sbd.unknown.5269.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-07-03,1999-07-03T00:00:00Z,12842,Warfield Theater
1999-08-12.paf.schoeps.unknown.5883.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1999-08-12,1999-08-12T00:00:00Z,7101,Fillmore Auditorium
1999-08-13.paf.akg.26783.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Red Rocks Amphitheatre on 1999-08-13,1999-08-13T00:00:00Z,2658,Red Rocks Amphitheatre
1999-08-13.paf.akg.unknown.13489.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Red Rocks Amphitheatre on 1999-08-13,1999-08-13T00:00:00Z,3631,Red Rocks Amphitheatre
1999-08-13.paf.akg451.3d.1487.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Red Rocks Amphitheatre on 1999-08-13,1999-08-13T00:00:00Z,3234,Red Rocks Amphitheatre
1999-08-13.paf.daud.vernon.7975.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Red Rocks Amphitheatre on 1999-08-13,1999-08-13T00:00:00Z,8151,Red Rocks Amphitheatre
1999-08-14.paf.bk4011-vandecar.sacks-wier.23830.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Red Rocks Amphitheatre on 1999-08-14,1999-08-14T00:00:00Z,13099,Red Rocks Amphitheatre
1999-08-17.paf.aud.unknown.2610.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Cuthbert Ampitheater on 1999-08-17,1999-08-17T00:00:00Z,16838,Cuthbert Ampitheater
1999-08-18.paf.aud.unknown.7609.sbefail.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Cuthbert Ampitheater on 1999-08-18,1999-08-18T00:00:00Z,9708,Cuthbert Ampitheater
1999-08-18.paf.mk4.larson.27177.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Cuthbert Ampitheater on 1999-08-18,1999-08-18T00:00:00Z,33520,Cuthbert Ampitheater
1999-08-18.paf.senn.unknown.20546.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Cuthbert Ampitheater on 1999-08-18,1999-08-18T00:00:00Z,2135,Cuthbert Ampitheater
1999-08-20.paf.unknown.carty-vernon.26780.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Greek Theatre on 1999-08-20,1999-08-20T00:00:00Z,7238,Greek Theatre
1999-08-21.paf.unknown.carty.26781.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Greek Theater on 1999-08-21,1999-08-21T00:00:00Z,9398,Greek Theater
1999-08-22.paf.schoeps.unknown.13225.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at County Bowl on 1999-08-22,1999-08-22T00:00:00Z,15315,County Bowl
1999-08-22.paf.unknown.carty.26782.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at County Bowl on 1999-08-22,1999-08-22T00:00:00Z,3250,County Bowl
1999-10-07.paf.schoeps.kempa.5052.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at The Warfield on 1999-10-07,1999-10-07T00:00:00Z,13263,The Warfield
1999-10-08.paf.aud.phunk.5602.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at The Warfield on 1999-10-08,1999-10-08T00:00:00Z,6227,The Warfield
1999-10-08.paf.schoeps.nawrocki.14863.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at The Warfield on 1999-10-08,1999-10-08T00:00:00Z,6960,The Warfield
1999-10-08.pf.schoeps.nawrocki.14863.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at The Warfield on 1999-10-08,1999-10-08T00:00:00Z,9789,The Warfield
1999-10-09.paf.schoeps.kempa.5599.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theatre on 1999-10-09,1999-10-09T00:00:00Z,4304,Warfield Theatre
1999-10-21.paf.akg.sacks.26674.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1999-10-21,1999-10-21T00:00:00Z,6452,Fillmore Auditorium
1999-10-22.paf.bk4011.unknown.26775.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at The Fillmore Auditorium on 1999-10-22,1999-10-22T00:00:00Z,7310,The Fillmore Auditorium
